timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1554792804597602801,-0.0240439,-0.00246427,0.0102433,-0.0746176,-0.00189977,0.0162912,-0.107953,-0.0832242,0.0379678,0.999717,-0.0234778,-0.00380043,-0.0003331,-0.0223679,-0.00267508,0.210579,0.00234643,-0.000316221,0.320537,0,0,0,6.90696e-310,6.95296e-310,6.95296e-310,1
1554792804602253622,-0.0239774,-0.00248947,0.0101993,-0.0747407,-0.00271231,0.0169888,-0.281743,-0.145586,0.118841,0.999719,-0.0233877,-0.00379307,-0.000230594,-0.0223679,-0.00267508,0.210579,0.00225334,-0.00027842,0.320607,0,0,0,0,0,0,1
1554792804612249249,-0.0237197,-0.00254222,0.0100618,-0.0741466,-0.00436294,0.0162037,-0.287012,-0.268005,-0.0603967,0.99972,-0.0233499,-0.00371395,-0.000169218,-0.0223679,-0.00267508,0.210579,0.00189257,-0.000199288,0.320827,0,0,0,0,0,0,1
1554792804622284944,-0.0240151,-0.00265252,0.0100414,-0.0785452,-0.00815252,0.0164474,-0.524789,-0.29206,0.0490745,0.99972,-0.0233965,-0.00365199,-0.000203116,-0.0223679,-0.00267508,0.210579,0.00230615,-3.38411e-05,0.32086,0,0,0,0.00027712,1.51742e-05,0.0024054,1
1554792804632259782,-0.0237692,-0.00272765,0.00990582,-0.0767,-0.00810967,0.0158435,-0.0201672,0.0352055,-0.0530974,0.99972,-0.0233804,-0.00356275,-0.000260476,-0.0223679,-0.00267508,0.210579,0.00196182,7.88538e-05,0.321077,0,0,0,0.000580742,4.56623e-05,0.00488225,1
1554792804642340366,-0.023841,-0.00292339,0.00976969,-0.0737781,-0.00703716,0.0157005,-0.259657,0.0662614,-0.0651035,0.999723,-0.0232736,-0.00350135,-0.000326563,-0.0223679,-0.00267508,0.210579,0.00206237,0.000372459,0.321295,0,0,0,0.000580742,4.56623e-05,0.00488225,1
1554792804652273318,-0.0235378,-0.00307528,0.0095525,-0.0749096,-0.00719069,0.0146198,-0.304375,-0.0331433,-0.0858703,0.999724,-0.0232253,-0.00342839,-0.000210548,-0.0223679,-0.00267508,0.210579,0.00163783,0.000600291,0.321642,0,0,0,0.00111101,9.74697e-05,0.00951174,1
1554792804662227028,-0.0234064,-0.00314969,0.00944771,-0.0745036,-0.00716771,0.0141625,-0.196672,0.0313088,-0.0539413,0.999725,-0.0232062,-0.0033473,-0.000125572,-0.0223679,-0.00267508,0.210579,0.00145386,0.000711911,0.32181,0,0,0,0.00139138,0.000126006,0.0119482,1
1554792804672283164,-0.0232866,-0.00322654,0.00934788,-0.0727705,-0.00798905,0.0140858,0.0419046,-0.118552,0.00955217,0.999726,-0.023159,-0.00330523,-2.90593e-05,-0.0223679,-0.00267508,0.210579,0.00128614,0.000827194,0.32197,0,0,0,0.00139138,0.000126006,0.0119482,1
1554792804682226060,-0.0236228,-0.00338842,0.00918993,-0.123299,0.0457661,-0.000444667,-9.55082,10.8349,-2.01409,0.999727,-0.0231324,-0.00327252,2.06703e-05,-0.0223679,-0.00267508,0.210579,0.00175691,0.00107001,0.322222,0,0,0,0.00165573,0.000157476,0.0143294,1
1554792804692256103,-0.0239849,-0.00295955,0.00899161,-0.167409,0.10792,-0.0102937,-7.59933,10.3706,-1.62948,0.999727,-0.0231336,-0.00325355,-7.49542e-05,-0.0223679,-0.00267508,0.210579,0.00226388,0.000426702,0.32254,0,0,0,0.00232812,-8.28429e-05,0.0180883,1
1554792804702229764,-0.0249875,-0.00163895,0.0085407,-0.154922,0.139561,-0.0152589,1.34762,5.64395,-0.838116,0.999727,-0.0231532,-0.00315575,-0.000120674,-0.0223679,-0.00267508,0.210579,0.00366748,-0.0015542,0.323261,0,0,0,0.00232812,-8.28429e-05,0.0180883,1
1554792804712224234,-0.0254636,-0.000847361,0.00829741,-0.154652,0.133459,-0.0166264,-0.159176,-1.00312,-0.228416,0.999727,-0.0231439,-0.0031024,-7.60585e-05,-0.0223679,-0.00267508,0.210579,0.00433399,-0.00274158,0.32365,0,0,0,0.00318767,-0.000847675,0.0220636,1
