timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1554792804590038061,0.211581,0.00718843,-8.88783,0.363151,0.999929,0.000403951,-0.0119003,3.02729e-05
1554792804596046686,0.217745,0.011667,-8.89093,0.363274,0.999925,0.000655562,-0.0122426,3.34915e-05
1554792804602186203,0.215351,0.020622,-8.88522,0.363023,0.999926,0.00115973,-0.0121159,3.95174e-05
1554792804614703894,0.236943,0.0321577,-8.88509,0.363,0.99991,0.00180849,-0.0133302,4.95738e-05
1554792804620115757,0.213674,0.0209225,-8.87862,0.36275,0.999927,0.00117752,-0.0120304,3.96323e-05
1554792804638010263,0.214438,0.0177325,-8.87736,0.362707,0.999927,0.000998075,-0.0120752,3.7518e-05
1554792804650219202,0.218442,0.0222931,-8.86813,0.362324,0.999923,0.00125613,-0.0123133,4.09334e-05
1554792804656168699,0.21336,0.0203052,-8.8643,0.362169,0.999927,0.00114461,-0.0120322,3.92385e-05
1554792804662117720,0.199878,0.0280792,-8.86454,0.362162,0.999935,0.001583,-0.0112719,4.33104e-05
1554792804680040121,0.673587,-0.499745,-8.78746,0.360139,0.998868,-0.0282981,-0.0382264,-0.00105754
1554792804686033964,0.726422,-0.653284,-8.75897,0.359278,0.998457,-0.0370573,-0.0413314,-0.00150858
1554792804698106527,0.383354,-0.578631,-8.75378,0.358831,0.999217,-0.0329575,-0.021868,-0.000695815
1554792804704132557,0.43802,-0.33348,-8.75368,0.358375,0.999507,-0.0190085,-0.0249908,-0.000449821
1554792804715845108,0.449709,-0.287492,-8.76249,0.358652,0.999537,-0.0163718,-0.0256319,-0.000394385
1554792804728546619,0.450984,-0.262834,-8.75162,0.358173,0.999556,-0.0149871,-0.0257369,-0.000360443
1554792804734134197,0.358144,-0.2258,-8.75252,0.358119,0.999708,-0.012883,-0.0204446,-0.000238007
1554792804745969772,0.430289,-0.232807,-8.72646,0.357083,0.999608,-0.013316,-0.0246293,-0.000302641
1554792804758010387,0.334009,-0.26914,-8.71155,0.356514,0.999697,-0.0154281,-0.0191572,-0.000270189
1554792804758010387,0.334501,-0.269478,-8.70882,0.356403,0.999696,-0.0154523,-0.0191914,-0.000271182
1554792804775975704,0.355066,-0.237827,-8.68958,0.355556,0.999698,-0.013667,-0.0204155,-0.000253647
1554792804788097858,0.41463,-0.265463,-8.6697,0.354834,0.999598,-0.0152832,-0.0238889,-0.000339794
1554792804788097858,0.41515,-0.265788,-8.66685,0.354719,0.999596,-0.0153068,-0.0239267,-0.000340938
1554792804805823088,0.419672,-0.198046,-8.6507,0.353905,0.999641,-0.0114284,-0.0242333,-0.000251598
1554792804817954302,0.416924,-0.22083,-8.63339,0.353228,0.999627,-0.0127682,-0.0241226,-0.000282667
1554792804830173731,0.408041,-0.170101,-8.6385,0.353294,0.999673,-0.00983097,-0.0235964,-0.000206601
1554792804830173731,0.408555,-0.170325,-8.63555,0.353175,0.999672,-0.00984724,-0.0236342,-0.000207357
1554792804847872019,0.42424,-0.201848,-8.64099,0.353452,0.999631,-0.0116604,-0.024524,-0.000260614
1554792804860097170,0.382273,-0.166062,-8.62885,0.352818,0.999709,-0.00960995,-0.0221333,-0.000187309
1554792804866019249,0.369146,-0.155617,-8.62481,0.352609,0.999731,-0.0090106,-0.0213845,-0.000167285
1554792804878320217,0.353146,-0.110128,-8.60756,0.351738,0.999769,-0.00639058,-0.0205002,-0.000105583
1554792804889851570,0.344005,-0.123624,-8.61099,0.351879,0.999775,-0.0071711,-0.0199621,-0.000117726
